,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23 (estimated),2023/24 (forecasted)
Cameroon,246,250,280,280,292,295,290,300
C̦te d'Ivoire,2020,1964,2154,2105,2248,2121,2241,1800
Ghana,969,905,812,771,1047,683,654,580
Nigeria,245,250,270,250,290,280,280,270
Africa Others,137,125,129,143,178,210,204,218
Brazil,174,204,176,201,200,220,220,220
Ecuador,290,287,322,342,365,365,454,430
America Others,294,344,349,366,369,388,387,385
Indonesia,270,240,220,200,170,180,180,160
Papua New Guinea,38,36,40,41,42,42,41,42
Asia & Oceania Others,49,43,43,42,42,43,45,45